AGENCYNAME,city,STATE,opbudget2019,opbudget_2021_2022,source
alcona county sheriff's office,harrisville,MI,2169864,1470000,https://micommunityfinancials.michigan.gov/#!/browse?filterType=CITY&lat=44.022893636582694&lng=-83.88786025699642&zoom=6.586616922592568&year=2021&showSidebar=yes
alex police department,alex,OK,15000,,
alexandria police department,alexandria,IN,723226,"1,349,409",https://gateway.ifionline.org/report_builder/Default3a.aspx?rpttype=budget&rpt=DetailedExpenditures&rptName=Line-Item%20Budget%20Estimate
alexandria police department,alexandria,LA,18917000,14651000,https://policescorecard.org/
alexandria police department,alexandria,VA,67793778,92909000,https://policescorecard.org/
algonquin police department,algonquin,IL,9600000,9633000,https://policescorecard.org/
allegany village police department,allegany,NY,420000,"275,627",https://wwe1.osc.state.ny.us/localgov/findata/financial-data-for-local-governments.cfm
allegheny county police department,pittsburgh,PA,35645007,37489716,https://www.alleghenycounty.us/files/assets/county/v/1/government/budget-amp-finance/operating-budget/2021-operating-budget-resolution.pdf
allegheny county sheriff's office,pittsburgh,PA,95932187,37489716,https://www.alleghenycounty.us/files/assets/county/v/1/government/budget-amp-finance/proposed-operating-budgets/final-operating_2021-comprehensive-fiscal-plan.pdf
allegheny township police department,leechburg,PA,1135872,1150535,https://dced.pa.gov/local-government/municipal-statistics/
allen county sheriff's department,fort wayne,IN,2.9e+07,69400000,https://abc7ny.com/where-police-departments-defunded-how-does-funding-impact-crime-defund-the-budgets/12324846/
allen parish sheriff's office,oberlin,LA,9600843,218000,https://policescorecard.org/
allen police department,allen,OK,25000,,
allen police department,allen,TX,104026372,30547000,https://policescorecard.org/
allentown city police department,allentown,PA,38670975,40192000,https://policescorecard.org/
alma police department,alma,WI,71975,,
alma police department,alma,AR,1724740,,
alma police department,alma,GA,947900,,
alpharetta department of public safety,alpharetta,GA,17927900,14634000,https://policescorecard.org/
altoona police department,altoona,WI,1928970,,
amador county sheriff's office,jackson,CA,14016173,98213,https://cities.bythenumbers.sco.ca.gov/#!/year/2021/operating/0/subcategory_2/Police_Current+Expenditures/0/entity_name
amarillo police department,amarillo,TX,43953657,48813000,https://policescorecard.org/
amboy police department,amboy,IL,2e+05,"235,023",https://illinoiscomptroller.gov/constituent-services/local-government/local-government-warehouse/landingpage?code=001/000/00
amery police department,amery,WI,850000,,
amherst county sheriff's office,amherst,VA,3926379,662793,https://amherstva.gov/wp-content/uploads/general/FY-20-21-Amended-Budget-approved-210210.pdf
amherst town police department,amherst,NY,3.5e+07,"23,676,450",https://wwe1.osc.state.ny.us/localgov/findata/financial-data-for-local-governments.cfm
amite county sheriff's department,liberty,MS,489594,,
anacortes police department,anacortes,WA,6254373,,
anaheim police department,anaheim,CA,153803336,175200000,https://abc7ny.com/where-police-departments-defunded-how-does-funding-impact-crime-defund-the-budgets/12324846/
anchorage police department,anchorage,AK,78503174,128500000,https://abc7ny.com/where-police-departments-defunded-how-does-funding-impact-crime-defund-the-budgets/12324846/
andale police department,andale,KS,2e+05,,
anderson county sheriff's office,anderson,SC,18204260,18370000,https://policescorecard.org/
anderson police department,anderson,IN,11965351,13005000,https://policescorecard.org/
anderson police department,anderson,MO,304970,,
anderson police department,anderson,SC,10956843,8477000,https://policescorecard.org/
andrews police department,andrews,IN,184625,206195,https://gateway.ifionline.org/report_builder/Default3a.aspx?rpttype=budget&rpt=DetailedExpenditures&rptName=Line-Item%20Budget%20Estimate
angola police department,angola,IN,2429900,2388000,https://policescorecard.org/
ankeny police department,ankeny,IA,8496360,11547000,https://policescorecard.org/
ann arbor police department,ann arbor,MI,29410860,29409000,https://policescorecard.org/
annapolis police,annapolis,MD,20420773,19474000,https://policescorecard.org/
anne arundel county police,millersville,MD,151162000,173438000,https://policescorecard.org/
anoka county sheriff's office,andover,MN,38578310,51909000,https://policescorecard.org/
anson county sheriff's office,wadesboro,NC,5e+06,512479,https://www.co.anson.nc.us/ArchiveCenter/ViewFile/Item/85
ansonia police department,ansonia,CT,6637768,5470000,https://policescorecard.org/
ansonia police department,ansonia,OH,3566478,,
antelope county sheriff's office,neligh,NE,4752034,649000,https://policescorecard.org/
antioch police department,antioch,CA,39868196,44591924,https://cities.bythenumbers.sco.ca.gov/#!/year/2021/operating/0/subcategory_2/Police_Current+Expenditures/0/entity_name
anton police department,anton,TX,140795,,
antonito police department,antonito,CO,350000,,
antrim county sheriff's office,bellaire,MI,3500000,3460000,https://micommunityfinancials.michigan.gov/#!/browse?filterType=CITY&lat=44.022893636582694&lng=-83.88786025699642&zoom=6.586616922592568&year=2021&showSidebar=yes
antwerp police department,antwerp,OH,3456335,,
apalachicola police department,apalachicola,FL,603000,,
apopka police department,apopka,FL,16180553,13431000,https://policescorecard.org/
appleton police department,appleton,MN,365000,,
appleton police department,appleton,WI,17948165,,
appling county sheriff's office,baxley,GA,10877338,,
arab police department,arab,AL,2700000,1556000,https://policescorecard.org/
arapahoe county sheriff's office,centennial,CO,100150784,57585000,https://policescorecard.org/
arcadia police department,arcadia,OK,6012635,,
archbold police department,archbold,OH,1200000,,
ardmore police department,ardmore,TN,6e+05,,
argonia police department,argonia,KS,3067560,,
argyle police department,argyle,TX,1770000,1396000,https://policescorecard.org/
arlington county police department,arlington,VA,72068068,72968000,https://policescorecard.org/
arlington heights police department,arlington heights,IL,27290500,26072000,https://policescorecard.org/
arlington police department,arlington,MN,9164735,,
arlington police department,arlington,WA,7454057,7407000,https://policescorecard.org/
arlington police department,arlington,TX,112956223,118800000,https://abc7ny.com/where-police-departments-defunded-how-does-funding-impact-crime-defund-the-budgets/12324846/
arnaudville police department,arnaudville,LA,375000,402094,https://app.lla.state.la.us/publicreports.nsf/0/9e0335a9c72340c3862587740062ad7c/$file/00024d86.pdf?openelement&.7773098
arnold police department,arnold,MO,7e+06,6722000,https://policescorecard.org/
aroostook county sheriff's office,houlton,ME,6278699,3380000,https://policescorecard.org/
arroyo grande police department,arroyo grande,CA,5600000,5698434,https://cities.bythenumbers.sco.ca.gov/#!/year/2021/operating/0/subcategory_2/Police_Current+Expenditures/0/entity_name
arvada police department,arvada,CO,38534561,,
ascension parish sheriff's office,donaldsonville,LA,40100000,25099000,https://policescorecard.org/
ash flat police department,ash flat,AR,299000,,
ashburn police department,ashburn,GA,1500000,,
ashdown police department,ashdown,AR,943000,,
asher police department,asher,OK,4733378,,
asheville police department,asheville,NC,29927129,27615000,https://policescorecard.org/
ashfield police department,ashfield,MA,148068,,
ashland police department,ashland,AL,517600,"487,034",https://ashlandnh.org/wp-content/uploads/2020/11/2021-Budget-Book_oct2020BOS.pdf
ashland police department,ashland,IL,125000,"95,295",https://illinoiscomptroller.gov/constituent-services/local-government/local-government-warehouse/landingpage?code=001/000/00
ashland police department,ashland,NH,426620,370000,https://policescorecard.org/
ashland police department,ashland,OH,3589667,3742000,https://policescorecard.org/
ashland police department,ashland,VA,2948888,,
ashley borough police department,ashley borough,PA,240000,364426,https://dced.pa.gov/local-government/municipal-statistics/
ashtabula county sheriff's office,jefferson,OH,7392147,6014000,https://policescorecard.org/
ashville police department,ashville,AL,373682,438000,https://policescorecard.org/
asotin police department,asotin,WA,155996,,
aspen police department,aspen,CO,5948835,5355000,https://policescorecard.org/
aston township police department,aston,PA,9530824,5658160,https://dced.pa.gov/local-government/municipal-statistics/
athens clarke county police department,athens,GA,24605832,,
athens township police department,sayre,PA,4906312,444087,https://dced.pa.gov/local-government/municipal-statistics/
atlanta police department,atlanta,GA,207814301,277000000,https://abc7ny.com/where-police-departments-defunded-how-does-funding-impact-crime-defund-the-budgets/12324846/
atlantic beach police department,atlantic beach,NC,1487071,152061,https://atlanticbeach-nc.com/wp-content/uploads/2015/07/FY-2021-22-Annual-Comprehensive-Financial-Report.pdf
atlantic city police,atlantic,NJ,27801450,33649000,https://policescorecard.org/
atlantic county sheriff's office,mays landing,NJ,8700000,,
atlantic highlands police,atlantic highlands,NJ,1811000,,
auburn police department,auburn,IL,3966587,"557,287",https://illinoiscomptroller.gov/constituent-services/local-government/local-government-warehouse/landingpage?code=001/000/00
auburn police department,auburn,NH,1329267,,
auburn police department,auburn,WA,90628913,28600000,https://policescorecard.org/
auburn police division,auburn,AL,15432644,16055000,https://policescorecard.org/
augusta police department,augusta,ME,5400000,5853000,https://policescorecard.org/
ault police department,ault,CO,7e+05,,
aumsville police department,aumsville,OR,1200000,1247252,https://www.aumsville.us/sites/default/files/fileattachments/finance/page/4381/adopted_budget_2021-2022.pdf
aurora police department,aurora,IL,72330231,82576000,https://policescorecard.org/
aurora police department,aurora,MO,1606548,1341290,https://www.aurora-cityhall.org/DocumentCenter/View/1622/City-of-Aurora-FY2021-Budget
aurora police department,aurora,CO,133217416,136800000,https://abc7ny.com/where-police-departments-defunded-how-does-funding-impact-crime-defund-the-budgets/12324846/
austin police department,austin,TX,434475745,443100000,https://abc7ny.com/where-police-departments-defunded-how-does-funding-impact-crime-defund-the-budgets/12324846/
auxvasse police department,auxvasse,MO,110000,,
avalon police department,avalon,NJ,2588405,2296000,https://policescorecard.org/
avoca police department,avoca,IA,150000,,
avon police department,avon,IN,3066502,3970478,https://gateway.ifionline.org/report_builder/Default3a.aspx?rpttype=budget&rpt=DetailedExpenditures&rptName=Line-Item%20Budget%20Estimate
avon police department,holbrook,MA,2015000,,
avon police department,avon,SD,85000,,
avondale police department,avondale,AZ,29926300,26077000,https://policescorecard.org/
avoyelles parish sheriff's office,marksville,LA,10596560,8830918,https://app.lla.la.gov/publicreports.nsf/0/4da3c9c15c131dec862584dd005cb18e/$file/0001edb5.pdf
ayer police department,ayer,MA,2881381,,
babbitt police department,babbitt,MN,596493,,
baileyville police department,baileyville,ME,359000,,
baker county sheriff's department,newton,GA,420434,511439,https://georgiadata.org/
bakersfield police department,bakersfield,CA,109350815,113600000,https://abc7ny.com/where-police-departments-defunded-how-does-funding-impact-crime-defund-the-budgets/12324846/
bald knob police department,bald knob,AR,759783,,
baldwin county sheriff's department,milledgeville,GA,10785558,4952000,https://georgiadata.org/
baldwin county sheriff's office,bay minette,AL,28017120,16574000,https://policescorecard.org/
baldwin park police department,baldwin park,CA,21800000,18633707,https://cities.bythenumbers.sco.ca.gov/#!/year/2021/operating/0/subcategory_2/Police_Current+Expenditures/0/entity_name
baldwin police department,baldwin,GA,7306358,670000,https://georgiadata.org/
baldwin police department,baldwin,LA,180000,601769,https://www.baldwinpark.com/DocumentCenter/View/346/FY21-22-Adopted-Budget---Police-PDF
baldwin township police department,pittsburgh,PA,609000,3932289,https://dced.pa.gov/local-government/municipal-statistics/
ballinger police department,ballinger,TX,782715,"1,015,181",https://www.baltx.org/_files/ugd/b59312_f069853c53f8421ea1466bb21b53f835.pdf
baltimore city sheriff's office,baltimore,MD,97277060,530286000,https://policescorecard.org/
baltimore county police,towson,MD,237613323,243231000,https://policescorecard.org/
baltimore police department,baltimore,MD,536376477,555100000,https://abc7ny.com/where-police-departments-defunded-how-does-funding-impact-crime-defund-the-budgets/12324846/
bangor police department,bangor,MI,450000,56000,https://micommunityfinancials.michigan.gov/#!/browse?filterType=CITY&lat=44.022893636582694&lng=-83.88786025699642&zoom=6.586616922592568&year=2021&showSidebar=yes
bangor police department,bangor,WI,3e+05,,
bangs police department,bangs,TX,328000,310531,https://www.cityofbangs.org/media/341
bannock county sheriff's office,pocatello,ID,4503378,5455000,https://policescorecard.org/
baraboo police department,baraboo,WI,3845380,,
barber county sheriff's department,medicine lodge,KS,591837,683000,https://policescorecard.org/
bardwell police department,bardwell,KY,3414459,,
barnegat township police,barnegat,NJ,13484226,7778000,https://policescorecard.org/
barnes county sheriff's office,valley,ND,870000,,
barnstable police department,hyannis,MA,15342667,14289000,https://policescorecard.org/
barodalake township police department,bridgman,MI,821000,235440,https://micommunityfinancials.michigan.gov/#!/browse?filterType=CITY&lat=44.022893636582694&lng=-83.88786025699642&zoom=6.586616922592568&year=2021&showSidebar=yes
barre city police department,barre,VT,2028000,3419000,https://policescorecard.org/
barrow county sheriff's office,winder,GA,58050217,10798000,https://georgiadata.org/
barry township police department,delton,MI,225000,227690,https://micommunityfinancials.michigan.gov/#!/browse?filterType=CITY&lat=44.022893636582694&lng=-83.88786025699642&zoom=6.586616922592568&year=2021&showSidebar=yes
bartlett police department,bartlett,IL,13553487,13213000,https://policescorecard.org/
bartlett police department,bartlett,TN,14597978,15619000,https://policescorecard.org/
bartow county sheriff's office,cartersville,GA,26178900,25546000,https://georgiadata.org/
bath county sheriff's office,warm springs,VA,1648238,,
bath police department,bath,NH,89570,,
baton rouge police department,baton rouge,LA,93530380,95900000,https://abc7ny.com/where-police-departments-defunded-how-does-funding-impact-crime-defund-the-budgets/12324846/
battle creek police department,battle creek,MI,1.8e+07,19024000,https://policescorecard.org/
bauxite police department,bauxite,AR,794372,,
baxter county sheriff's office,mountain home,AR,7399412,2605829,https://www.baxtercountyar.gov/transparency/budget_reports/2021_Budget.pdf
baxter police department,baxter,IA,3675170,,
baxter police department,baxter,TN,340000,,
baxter springs police department,baxter springs,KS,864452,913000,https://policescorecard.org/
bay county sheriff's office,panama,FL,53520563,43593000,https://policescorecard.org/
bay police department,bay,AR,150000,,
bay springs police department,bay springs,MS,7e+05,,
bayonne police,bayonne,NJ,25592000,19945000,https://policescorecard.org/
bayou vista police department,bayou vista,TX,40964748,522650,https://webgen1files1.revize.com/bayouvistatx/2021-2022%20PROPOSED%20BUDGET%20AMENDMENT.pdf
baytown police department,baytown,TX,2.8e+07,35012000,https://policescorecard.org/
beach city police department,beach,OH,6825780,,
beachwood police,beachwood,NJ,2305300,,
beachwood police department,beachwood,OH,1.1e+07,,
beacon city police department,beacon,NY,5231159,4579000,https://wwe1.osc.state.ny.us/localgov/findata/financial-data-for-local-governments.cfm
bean station police department,bean station,TN,351599,,
bear creek police department,bear creek,AL,207389,,
beardstown police department,beardstown,IL,1176326,"1,379,788",https://illinoiscomptroller.gov/constituent-services/local-government/local-government-warehouse/landingpage?code=001/000/00
beattyville police department,beattyville,KY,3979815,,
beaufort county sheriff's office,beaufort,SC,33378832,36875000,https://policescorecard.org/
beaumont police department,beaumont,TX,39061900,45177000,https://policescorecard.org/
beaver borough police department,beaver borough,PA,2e+06,2133000,https://policescorecard.org/
beaver county sheriff's office,beaver,UT,8614227,,
beaver dam police department,beaver dam,KY,425000,,
beaverton police department,beaverton,OR,33945475,32407000,https://policescorecard.org/
beckham county sheriff's office,sayre,OK,2340569,,
bedford police department,manchester,NH,6066903,11275000,https://policescorecard.org/
bedford police department,bedford,VA,2278188,2206000,https://policescorecard.org/
bedminster police,bedminster,NJ,2055175,,
belen police department,belen,NM,12193237,2620000,https://policescorecard.org/
belington police department,belington,WV,5376892,,
bell county sheriff's department,belton,TX,3.5e+07,8238000,https://policescorecard.org/
bell gardens police department,bell gardens,CA,16421422,15544878,https://cities.bythenumbers.sco.ca.gov/#!/year/2021/operating/0/subcategory_2/Police_Current+Expenditures/0/entity_name
bell police department,bell,CA,6984076,9901904,https://cities.bythenumbers.sco.ca.gov/#!/year/2021/operating/0/subcategory_2/Police_Current+Expenditures/0/entity_name
belle plaine police department,belle plaine,KS,482563,,
bellefonte police department,ashland,KY,323300,,
belleville police,belleville,NJ,13150000,,
bellevue police department,bellevue,NE,15556563,13197000,https://policescorecard.org/
bellevue police department,bellevue,WA,49030947,48210000,https://policescorecard.org/
bellingham police department,bellingham,WA,29145597,24692000,https://policescorecard.org/
bells police department,bells,TX,303084,338983,https://img1.wsimg.com/blobby/go/85aa83a8-252b-4f51-b1e0-5cfa4fe19721/downloads/2021.2022%20Approved%20Budget.pdf?ver=1720624749139
belmont village police department,belmont,NY,70000,"44,073",https://wwe1.osc.state.ny.us/localgov/findata/financial-data-for-local-governments.cfm
belpre police department,belpre,OH,1300000,,
belton police department,belton,MO,5649908,5666000,https://policescorecard.org/
belvedere police department,belvedere,CA,1901615,1547912,https://cities.bythenumbers.sco.ca.gov/#!/year/2021/operating/0/subcategory_2/Police_Current+Expenditures/0/entity_name
bend police department,bend,OR,71391640,28505000,https://policescorecard.org/
bennington county sheriff's office,bennington,VT,2276565,,
bennington police department,bennington,NH,6863747,,
bensalem township police department,bensalem,PA,66346907,30314000,https://policescorecard.org/
benton county sheriff's office,bentonville,AR,142937401,11324215,https://bentoncountyar.gov/wp-content/themes/bentoncounty/documents/2021/12/2.1-2.4-November-Financials.pdf
benton county sheriff's office,vinton,IA,4e+06,2510000,https://policescorecard.org/
benton harbor police department,benton harbor,MI,2200000,1950,https://micommunityfinancials.michigan.gov/#!/browse?filterType=CITY&lat=44.022893636582694&lng=-83.88786025699642&zoom=6.586616922592568&year=2021&showSidebar=yes
benton police department,benton,TN,714025,,
berea police department,berea,OH,3500000,3601000,https://policescorecard.org/
bergen county sheriff's office,hackensack,NJ,80943518,,
berkeley county sheriff's office,moncks corner,SC,5443810,20863000,https://policescorecard.org/
berkeley police department,berkeley,MO,3042818,2732000,https://policescorecard.org/
berkeley police department,berkeley,CA,74979834,77374364,https://cities.bythenumbers.sco.ca.gov/#!/year/2021/operating/0/subcategory_2/Police_Current+Expenditures/0/entity_name
berkley department of public safety,berkley,MI,3846369,549700,https://micommunityfinancials.michigan.gov/#!/browse?filterType=CITY&lat=44.022893636582694&lng=-83.88786025699642&zoom=6.586616922592568&year=2021&showSidebar=yes
berlin borough police,berlin borough,NJ,5886878,,
bern township police department,reading,PA,1263950,1325718,https://dced.pa.gov/local-government/municipal-statistics/
bernalillo county sheriff's office,albuquerque,NM,6e+07,60748000,https://policescorecard.org/
berne police department,berne,IN,795762,596319,https://gateway.ifionline.org/report_builder/Default3a.aspx?rpttype=budget&rpt=DetailedExpenditures&rptName=Line-Item%20Budget%20Estimate
bertrand police department,bertrand,MO,27049,,
berwick police department,berwick,ME,1698814,1892000,https://policescorecard.org/
berwyn police department,berwyn,IL,40498754,"36,508,204",https://illinoiscomptroller.gov/constituent-services/local-government/local-government-warehouse/landingpage?code=001/000/00
bessemer police department,bessemer,AL,14760000,14337785,https://www.bessemeral.org/wp-content/uploads/2022/03/2021-2022-Budget.pdf
bethalto police department,bethalto,IL,1700000,"2,314,402",https://illinoiscomptroller.gov/constituent-services/local-government/local-government-warehouse/landingpage?code=001/000/00
bethany beach police department,bethany beach,DE,1773000,2180000,https://policescorecard.org/
bethel heights police department,bethel heights,AR,3494704,,
bethlehem police department,bethlehem,PA,16112689,15459000,https://policescorecard.org/
beverly hills police department,beverly hills,CA,4856556,85231762,https://cities.bythenumbers.sco.ca.gov/#!/year/2021/operating/0/subcategory_2/Police_Current+Expenditures/0/entity_name
bexar county sheriff's office,san antonio,TX,150218400,53360000,https://policescorecard.org/
bibb county sheriff's office,macon-bibb,GA,49939378,,
big bend police department,big bend,WI,412312,,
big stone gap police department,big stone gap,VA,10252602,,
billings county sheriff's office,medora,ND,685152,655000,https://policescorecard.org/
billings police department,billings,MT,27017423,24868000,https://policescorecard.org/
biloxi police department,biloxi,MS,18662860,15504000,https://policescorecard.org/
binghamton city police department,binghamton,NY,12856788,"13,268,693",https://wwe1.osc.state.ny.us/localgov/findata/financial-data-for-local-governments.cfm
birmingham police department,birmingham,MI,7680640,7363000,https://policescorecard.org/
birmingham police department,birmingham,AL,92775797,106672000,https://policescorecard.org/
bisbee police department,bisbee,AZ,8152553,,
bismarck police department,bismarck,ND,13520138,19637000,https://policescorecard.org/
black creek police department,black creek,WI,169147,,
black hawk county sheriff's office,waterloo,IA,14249777,7621000,https://policescorecard.org/
black hawk police department,black hawk,CO,4306663,4333000,https://policescorecard.org/
blackduck police department,blackduck,MN,6558926,,
blacklick township police department,belsano,PA,147428,41106,https://dced.pa.gov/local-government/municipal-statistics/
blacksburg police department,blacksburg,SC,960000,,
blackstone police department,blackstone,MA,2100000,,
blaine county sheriff's office,chinook,MT,1200000,1306000,https://policescorecard.org/
blaine county sheriff's office,watonga,OK,767000,,
blair county sheriff's office,hollidaysburg,PA,10409544,"3,979,858",https://dced.pa.gov/local-government/municipal-statistics/
blanding police department,blanding,UT,737852,513000,https://policescorecard.org/
bledsoe county sheriff's office,pikeville,TN,12141419,812000,https://policescorecard.org/
bloomfield police,bloomfield,NJ,16581350,16938000,https://policescorecard.org/
bloomfield town police department,pell lake,WI,3918573,,
bloomfield township police department,bloomfield hills,MI,16789347,0,https://micommunityfinancials.michigan.gov/#!/browse?filterType=CITY&lat=44.022893636582694&lng=-83.88786025699642&zoom=6.586616922592568&year=2021&showSidebar=yes
bloomingdale police department,bloomingdale,IL,15795129,"10,173,539",https://illinoiscomptroller.gov/constituent-services/local-government/local-government-warehouse/landingpage?code=001/000/00
bloomington police department,bloomington,IL,18960889,"40,025,519",https://illinoiscomptroller.gov/constituent-services/local-government/local-government-warehouse/landingpage?code=001/000/00
bloomington police department,bloomington,IN,103932785,16766000,https://policescorecard.org/
bloomington police department,bloomington,MN,26976602,30749000,https://policescorecard.org/
blount county sheriff's office,maryville,TN,53261161,15231000,https://policescorecard.org/
blowing rock police department,blowing rock,NC,1442762,1238000,https://policescorecard.org/
blue ash police department,blue ash,OH,14291025,5639000,https://policescorecard.org/
blue grass police department,blue grass,IA,411684,,
blue springs police department,blue springs,MO,1.1e+07,17165000,https://policescorecard.org/
boardman police department,boardman,OH,9360676,,
boardman police department,boardman,OR,1419339,1925000,https://policescorecard.org/
boca raton police department,boca raton,FL,56283900,6067000,https://policescorecard.org/
boise police department,boise,ID,66867208,77200000,https://abc7ny.com/where-police-departments-defunded-how-does-funding-impact-crime-defund-the-budgets/12324846/
bolingbrook police department,bolingbrook,IL,24557113,"27,766,997",https://illinoiscomptroller.gov/constituent-services/local-government/local-government-warehouse/landingpage?code=001/000/00
bolivar police department,bolivar,OH,180000,,
bolivar police department,bolivar,TN,1740329,,
bollinger county sheriff's office,marble hill,MO,6997297,,
bolton police department,bolton,MS,1341643,,
bonneau police department,bonneau,SC,176287,,
bonneauville borough police department,gettysburg borough,PA,85100,72081,https://dced.pa.gov/local-government/municipal-statistics/
bonner county sheriff's office,sandpoint,ID,8574388,5644000,https://policescorecard.org/
bonney lake police department,bonney lake,WA,6875041,,
booker police department,booker,TX,113186,,
boone county sheriff's office,burlington,KY,19509427,12420000,https://policescorecard.org/
boone county sheriff's office,columbia,MO,24149794,13934000,https://policescorecard.org/
boone police department,boone,IA,1674020,2716000,https://policescorecard.org/
boonville police department,boonville,MO,1813150,,
boonville police department,boonville,NC,4e+05,"419,797",https://logos.nctreasurer.com/Reporting/Report/External?applicationCode=AFIR
boothbay harbor police department,boothbay harbor,ME,13546400,805000,https://policescorecard.org/
borden county sheriff's office,gail,TX,11510788,,
borough of woodland park police department,west paterson borough,NJ,14736115,,
bossier city police department,bossier,LA,20866861,20106000,https://policescorecard.org/
bossier parish sheriff's office,benton,LA,53309909,,
boston police department,boston,MA,148577278,428200000,https://abc7ny.com/where-police-departments-defunded-how-does-funding-impact-crime-defund-the-budgets/12324846/
boulder county sheriff's office,boulder,CO,51239799,84274000,https://policescorecard.org/
boulder police department,boulder,CO,36456641,39262000,https://policescorecard.org/
bourbon police department,bourbon,IN,578150,,
bourbonnais police department,bourbonnais,IL,4875826,"5,115,581",https://illinoiscomptroller.gov/constituent-services/local-government/local-government-warehouse/landingpage?code=001/000/00
bow police department,bow,NH,1691761,,
bowling green police department,bowling green,KY,15107557,13451000,https://policescorecard.org/
bowling green police department,bowling green,MO,1072477,1114667,https://www.bowlinggreen-mo.gov/wp-content/uploads/2021/11/BUDGET-2021-2022.pdf
boxford police department,boxford,MA,1267297,1301000,https://policescorecard.org/
boyce police department,boyce,LA,7611853,726147,https://app.lla.la.gov/publicreports.nsf/0/66a98d35320020f4862587f7006cbf56/$file/00026175.pdf
boyd county sheriff's office,butte,NE,269950,,
boyd police department,boyd,TX,325000,"559,953",https://www.cityofboyd.com/media/81
boyertown borough police department,boyertown borough,PA,7719297,1071625,https://dced.pa.gov/local-government/municipal-statistics/
boyle police department,boyle,MS,66607,,
boynton beach police department,boynton beach,FL,33507073,33760000,https://policescorecard.org/
bradenton police department,bradenton,FL,18497044,,
bradford police department,bradford,NH,479000,,
bradford police department,bradford,VT,6532463,,
bradley county sheriff's office,cleveland,TN,17890607,9122000,https://policescorecard.org/
brandon police department,brandon,MS,7484572,3680000,https://policescorecard.org/
brantley county sheriff's office,nahunta,GA,11445850,,
brantley police department,brantley,AL,370000,249000,https://policescorecard.org/
braswell police department,rockmart,GA,6448413,,
brattleboro police department,brattleboro,VT,2775000,2643000,https://policescorecard.org/
brazoria county sheriff's office,angleton,TX,40852535,25381000,https://policescorecard.org/
brazos county sheriff's office,bryan,TX,14852071,9527000,https://policescorecard.org/
breckenridge police department,breckenridge,MI,150000,138690,https://micommunityfinancials.michigan.gov/#!/browse?filterType=CITY&lat=44.022893636582694&lng=-83.88786025699642&zoom=6.586616922592568&year=2021&showSidebar=yes
brevard county sheriff's office,titusville,FL,88030079,65343000,https://policescorecard.org/
brewster police department,brewster,WA,812678,,
brick township police,brick,NJ,69742978,,
bridgeport borough police department,bridgeport borough,PA,1216362,1337889,https://dced.pa.gov/local-government/municipal-statistics/
bridgeport police department,bridgeport,CT,40131912,94393000,https://policescorecard.org/
bridgeport police department,bridgeport,OH,4e+05,,
