assistance_transaction_unique_key,assistance_award_unique_key,award_id_fain,modification_number,award_id_uri,sai_number,federal_action_obligation,total_obligated_amount,total_outlayed_amount_for_overall_award,indirect_cost_federal_share_amount,non_federal_funding_amount,total_non_federal_funding_amount,face_value_of_loan,original_loan_subsidy_cost,total_face_value_of_loan,total_loan_subsidy_cost,generated_pragmatic_obligations,disaster_emergency_fund_codes_for_overall_award,outlayed_amount_from_COVID-19_supplementals_for_overall_award,obligated_amount_from_COVID-19_supplementals_for_overall_award,outlayed_amount_from_IIJA_supplemental_for_overall_award,obligated_amount_from_IIJA_supplemental_for_overall_award,action_date,action_date_fiscal_year,period_of_performance_start_date,period_of_performance_current_end_date,awarding_agency_code,awarding_agency_name,awarding_sub_agency_code,awarding_sub_agency_name,awarding_office_code,awarding_office_name,funding_agency_code,funding_agency_name,funding_sub_agency_code,funding_sub_agency_name,funding_office_code,funding_office_name,treasury_accounts_funding_this_award,federal_accounts_funding_this_award,object_classes_funding_this_award,program_activities_funding_this_award,recipient_uei,recipient_duns,recipient_name,recipient_name_raw,recipient_parent_uei,recipient_parent_duns,recipient_parent_name,recipient_parent_name_raw,recipient_country_code,recipient_country_name,recipient_address_line_1,recipient_address_line_2,recipient_city_code,recipient_city_name,prime_award_transaction_recipient_county_fips_code,recipient_county_name,prime_award_transaction_recipient_state_fips_code,recipient_state_code,recipient_state_name,recipient_zip_code,recipient_zip_last_4_code,prime_award_transaction_recipient_cd_original,prime_award_transaction_recipient_cd_current,recipient_foreign_city_name,recipient_foreign_province_name,recipient_foreign_postal_code,primary_place_of_performance_scope,primary_place_of_performance_country_code,primary_place_of_performance_country_name,primary_place_of_performance_code,primary_place_of_performance_city_name,prime_award_transaction_place_of_performance_county_fips_code,primary_place_of_performance_county_name,prime_award_transaction_place_of_performance_state_fips_code,primary_place_of_performance_state_name,primary_place_of_performance_zip_4,prime_award_transaction_place_of_performance_cd_original,prime_award_transaction_place_of_performance_cd_current,primary_place_of_performance_foreign_location,cfda_number,cfda_title,funding_opportunity_number,funding_opportunity_goals_text,assistance_type_code,assistance_type_description,transaction_description,prime_award_base_transaction_description,business_funds_indicator_code,business_funds_indicator_description,business_types_code,business_types_description,correction_delete_indicator_code,correction_delete_indicator_description,action_type_code,action_type_description,record_type_code,record_type_description,highly_compensated_officer_1_name,highly_compensated_officer_1_amount,highly_compensated_officer_2_name,highly_compensated_officer_2_amount,highly_compensated_officer_3_name,highly_compensated_officer_3_amount,highly_compensated_officer_4_name,highly_compensated_officer_4_amount,highly_compensated_officer_5_name,highly_compensated_officer_5_amount,usaspending_permalink,initial_report_date,last_modified_date
1550_2009CKWX0182_FY2013-2009CKWX0182-01-NON_16.710_01,ASST_NON_2009CKWX0182_1550,2009CKWX0182,01,FY2013-2009CKWX0182-01-NON,SAI NOT AVAILABLE,0.00,500000.00,,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,,,,2012-09-17,2012,2009-03-11,2012-03-10,015,Department of Justice,1550,Office of Justice Programs,,,,,,,,,,,,,JZKGJGKTV3H7,142906002,"LITTLE ROCK, CITY OF",LITTLE ROCK POLICE DEPARTMENT,JXG6UN5FMB88,065303794,CITY OF LITTLE ROCK,"LITTLE ROCK, CITY OF",USA,UNITED STATES,700 WEST MARKHAM STREET,,91899,LITTLE ROCK,05121,RANDOLPH,05,AR,ARKANSAS,72201,,AR-14,AR-02,,,,SINGLE ZIP CODE,USA,UNITED STATES,0591899,LITTLE ROCK,05119,PULASKI,05,AR,72201,AR-14,AR-02,,16.710,PUBLIC SAFETY PARTNERSHIP AND COMMUNITY POLICING GRANTS,,,04,,OTHER-TECH,OTHER-TECH,NON,,X,OTHER,,,D,,2,,,,,,,,,,,,https://www.usaspending.gov/award/ASST_NON_2009CKWX0182_1550/,2017-09-17,2013-02-25
1550_2012WEAX0036_FY2012-2012WEAX0036-00-NON_16.590_00,ASST_NON_2012WEAX0036_1550,2012WEAX0036,00,FY2012-2012WEAX0036-00-NON,SAI NOT AVAILABLE,650000.00,650000.00,,,0.00,0.00,0.00,0.00,0.00,0.00,650000.00,,,,,,2012-09-17,2012,2012-10-01,2014-09-30,015,Department of Justice,1550,Office of Justice Programs,,,,,,,,,,,,,NG8FKKNYSEV5,078662251,CITY OF TULSA,"CITY OF TULSA, OKLAHOMA",NG8FKKNYSEV5,078662251,CITY OF TULSA,"TULSA, CITY OF",USA,UNITED STATES,175 EAST 2ND STREET,,75000,TULSA,40143,TULSA,40,OK,OKLAHOMA,74103,3208,OK-01,OK-01,,,,SINGLE ZIP CODE,USA,UNITED STATES,4075000,TULSA,40143,TULSA,40,OKLAHOMA,741033208,OK-01,OK-01,,16.590,GRANTS TO ENCOURAGE ARREST POLICIES AND ENFORCEMENT OF PROTECTION ORDERS PROGRAM,,,04,,"ANN PATTERSON DOOLEY FAMILY SAFETY CENTER:  ONE HOPE, ONE PLACE, WHERE FAMILY SAFETY COMES FIRST","ANN PATTERSON DOOLEY FAMILY SAFETY CENTER:  ONE HOPE, ONE PLACE, WHERE FAMILY SAFETY COMES FIRST",NON,,C,CITY OR TOWNSHIP GOVERNMENT,,,A,,2,,,,,,,,,,,,https://www.usaspending.gov/award/ASST_NON_2012WEAX0036_1550/,2017-09-17,2012-12-04
1550_2010MUFXK001_FY2012-2010MUFXK001-02-NON_16.523_02,ASST_NON_2010MUFXK001_1550,2010MUFXK001,02,FY2012-2010MUFXK001-02-NON,SAI NOT AVAILABLE,400000.00,1649962.00,,,0.00,0.00,0.00,0.00,0.00,0.00,400000.00,,,,,,2012-09-17,2012,2010-03-01,2013-09-30,015,Department of Justice,1550,Office of Justice Programs,,,,,,,,,,,,,D2LWNASDKG23,166113332,"DEVELOPMENT SERVICES GROUP, INC",DEVELOPMENT SERVICES GROUP INC.,,,,,USA,UNITED STATES,7315 WISCONSIN AVENUE,SUITE 800 EAST,07125,BETHESDA,24031,MONTGOMERY,24,MD,MARYLAND,20814,3202,MD-08,MD-08,,,,SINGLE ZIP CODE,USA,UNITED STATES,2407125,BETHESDA,24031,MONTGOMERY,24,MARYLAND,208143202,MD-08,MD-08,,16.523,JUVENILE ACCOUNTABILITY BLOCK GRANTS,,,05,,FY2010 MAINTENANCE AND EXPANSION OF THE MODEL PROGRAMS GUIDE AND SMART GIS,FY2010 MAINTENANCE AND EXPANSION OF THE MODEL PROGRAMS GUIDE AND SMART GIS,NON,,Q,FOR-PROFIT ORGANIZATION (OTHER THAN SMALL BUSINESS),,,A,,2,,,,,,,,,,,,https://www.usaspending.gov/award/ASST_NON_2010MUFXK001_1550/,2017-09-17,2013-06-18
1550_2012WEAX0010_FY2012-2012WEAX0010-00-NON_16.590_00,ASST_NON_2012WEAX0010_1550,2012WEAX0010,00,FY2012-2012WEAX0010-00-NON,SAI NOT AVAILABLE,300000.00,300000.00,,,0.00,0.00,0.00,0.00,0.00,0.00,300000.00,,,,,,2012-09-17,2012,2012-10-01,2014-09-30,015,Department of Justice,1550,Office of Justice Programs,,,,,,,,,,,,,PMJGFQ26A8A8,071554760,"LAKE, COUNTY OF",COUNTY OF LAKE,PMJGFQ26A8A8,071554760,"LAKE, COUNTY OF","LAKE, COUNTY OF",USA,UNITED STATES,255 NORTH FORBES STREET,,39710,LAKEPORT,06033,LAKE,06,CA,CALIFORNIA,95453,4755,CA-01,CA-04,,,,SINGLE ZIP CODE,USA,UNITED STATES,0639710,LAKEPORT,06033,LAKE,06,CALIFORNIA,954534755,CA-01,CA-04,,16.590,GRANTS TO ENCOURAGE ARREST POLICIES AND ENFORCEMENT OF PROTECTION ORDERS PROGRAM,,,04,,LAKE COUNTY INTERAGENCY DOMESTIC VIOLENCE RESPONSE TEAM PROJECT,LAKE COUNTY INTERAGENCY DOMESTIC VIOLENCE RESPONSE TEAM PROJECT,NON,,B,COUNTY GOVERNMENT,,,A,,2,,,,,,,,,,,,https://www.usaspending.gov/award/ASST_NON_2012WEAX0010_1550/,2017-09-17,2012-12-04
1550_2012JUFX0029_FY2012-2012JUFX0029-00-NON_16.726_00,ASST_NON_2012JUFX0029_1550,2012JUFX0029,00,FY2013-2012JUFX0029-01-NON,SAI NOT AVAILABLE,109910.00,200000.00,,,0.00,0.00,0.00,0.00,0.00,0.00,109910.00,,,,,,2012-09-17,2012,2012-10-01,2014-09-30,015,Department of Justice,1550,Office of Justice Programs,,,,,,,,,,,,,EK57D6PMJ3W6,072219876,"BIG BROTHERS BIG SISTERS OF MIAMI, INC.","BIG BROTHERS BIG SISTERS OF GREATER MIAMI, IN",,,,,USA,UNITED STATES,"701 SW 27TH AVENUE, SUITE 800",,60850,RIVERSIDE,12086,MIAMI-DADE,12,FL,FLORIDA,33135,3026,FL-18,FL-27,,,,SINGLE ZIP CODE,USA,UNITED STATES,1260850,MIAMI,12086,MIAMI-DADE,12,FLORIDA,331353026,FL-18,FL-27,,16.726,JUVENILE MENTORING PROGRAM,,,04,,"THE MIAMI MENTORING COLLABORATIVE PROPOSES TO SUPPORT A LOCAL CONTINUUM OF MENTORING SERVICES FOR TARGETED YOUTH IN MIAMI-DADE COUNTY, FL AND ENHANCE","THE MIAMI MENTORING COLLABORATIVE PROPOSES TO SUPPORT A LOCAL CONTINUUM OF MENTORING SERVICES FOR TARGETED YOUTH IN MIAMI-DADE COUNTY, FL AND ENHANCE",NON,,M,NONPROFIT WITH 501C3 IRS STATUS (OTHER THEN INSTITUTION OF HIGHER EDUCATION),,,A,,2,,,,,,,,,,,,https://www.usaspending.gov/award/ASST_NON_2012JUFX0029_1550/,2017-09-17,2012-12-04
1550_2012WEAX0047_FY2012-2012WEAX0047-00-NON_16.590_00,ASST_NON_2012WEAX0047_1550,2012WEAX0047,00,FY2012-2012WEAX0047-00-NON,SAI NOT AVAILABLE,300000.00,300000.00,,,0.00,0.00,0.00,0.00,0.00,0.00,300000.00,,,,,,2012-09-17,2012,2012-10-01,2014-09-30,015,Department of Justice,1550,Office of Justice Programs,,,,,,,,,,,,,YA36JBKB9CH8,020594164,OUACHITA PARISH OF,PARISH OF OUACHITA,YA36JBKB9CH8,020594164,OUACHITA PARISH OF,"OUACHITA, PARISH OF",USA,UNITED STATES,P.O. BOX 3007,300 ST. JOHN ST.,51410,MONROE,22073,OUACHITA,22,LA,LOUISIANA,71210,3007,LA-05,LA-05,,,,SINGLE ZIP CODE,USA,UNITED STATES,2251410,MONROE,22073,OUACHITA,22,LOUISIANA,712103007,LA-05,LA-05,,16.590,GRANTS TO ENCOURAGE ARREST POLICIES AND ENFORCEMENT OF PROTECTION ORDERS PROGRAM,,,04,,FAMILY JUSTICE CENTER OF OUACHITA,FAMILY JUSTICE CENTER OF OUACHITA,NON,,B,COUNTY GOVERNMENT,,,A,,2,,,,,,,,,,,,https://www.usaspending.gov/award/ASST_NON_2012WEAX0047_1550/,2017-09-17,2012-12-04
1550_2012UMWX0130_FY2013-2012UMWX0130-01-NON_16.710_01,ASST_NON_2012UMWX0130_1550,2012UMWX0130,01,FY2013-2012UMWX0130-01-NON,SAI NOT AVAILABLE,-625000.00,1250000.00,,,0.00,0.00,0.00,0.00,0.00,0.00,-625000.00,,,,,,2012-09-17,2012,2012-06-01,2015-05-31,015,Department of Justice,1550,Office of Justice Programs,,,,,,,,,,,,,EN4WA7W7ERM7,781983069,"ATLANTIC CITY (INC), CITY OF",ATLANTIC CITY,LUTHLMNUGB55,077059376,ATLANTIC CITY CITY HALL,"ATLANTIC CITY (INC), CITY OF",USA,UNITED STATES,2715 ATLANTIC AVENUE,,04015,ATLANTIC CITY,34013,ESSEX,34,NJ,NEW JERSEY,08401,,NJ-02,NJ-02,,,,SINGLE ZIP CODE,USA,UNITED STATES,3404015,ATLANTIC CITY,34001,ATLANTIC,34,NJ,08401,NJ-02,NJ-02,,16.710,PUBLIC SAFETY PARTNERSHIP AND COMMUNITY POLICING GRANTS,,,04,,CHP,CHP,NON,,X,OTHER,,,A,,2,,,,,,,,,,,,https://www.usaspending.gov/award/ASST_NON_2012UMWX0130_1550/,2017-09-17,2013-02-25
1550_2009WHAX0044_FY2012-2009WHAX0044-01-NON_16.736_01,ASST_NON_2009WHAX0044_1550,2009WHAX0044,01,FY2012-2009WHAX0044-01-NON,SAI NOT AVAILABLE,250000.00,500000.00,,,0.00,0.00,0.00,0.00,0.00,0.00,250000.00,,,,,,2012-09-17,2012,2009-09-01,2015-08-31,015,Department of Justice,1550,Office of Justice Programs,,,,,,,,,,,,,NK2NNE4WTPX9,024584468,"MERIDEN-WALLINGFORD CHRYSALIS, INC.","MERIDEN-WALLINGFORD CHRYSALIS, INC.",,,,,USA,UNITED STATES,14 WEST MAIN STREET,,46450,MERIDEN,09009,NEW HAVEN,09,CT,CONNECTICUT,06451,4109,CT-05,CT-05,,,,SINGLE ZIP CODE,USA,UNITED STATES,0946450,MERIDEN,09009,NEW HAVEN,09,CONNECTICUT,064514109,CT-05,CT-05,,16.736,"TRANSITIONAL HOUSING ASSISTANCE FOR VICTIMS OF DOMESTIC VIOLENCE, DATING VIOLENCE, STALKING, OR SEXUAL ASSAULT",,,04,,BLOOM'S PLACE:  TRANSITIONAL LIVING RESIDENCE AND SUPPORTED COMMUNITY APARTMENTS PROGRAM,BLOOM'S PLACE:  TRANSITIONAL LIVING RESIDENCE AND SUPPORTED COMMUNITY APARTMENTS PROGRAM,NON,,M,NONPROFIT WITH 501C3 IRS STATUS (OTHER THEN INSTITUTION OF HIGHER EDUCATION),,,A,,2,,,,,,,,,,,,https://www.usaspending.gov/award/ASST_NON_2009WHAX0044_1550/,2017-09-17,2014-01-24
1550_2012JUFX0042_FY2012-2012JUFX0042-00-NON_16.726_00,ASST_NON_2012JUFX0042_1550,2012JUFX0042,00,FY2013-2012JUFX0042-01-NON,SAI NOT AVAILABLE,109910.00,199995.00,,,0.00,0.00,0.00,0.00,0.00,0.00,109910.00,,,,,,2012-09-17,2012,2012-10-01,2013-09-30,015,Department of Justice,1550,Office of Justice Programs,,,,,,,,,,,,,GUC1FNDGLCL4,133475223,"ROGERS COUNTY VOLUNTEERS FOR YOUTH, INC.","ROGERS COUNTY VOLUNTEERS FOR YOUTH, INC.",,,,,USA,UNITED STATES,1700 S LYNN RIGGS BLVD,SUITE A,14700,CLAREMORE,40131,ROGERS,40,OK,OKLAHOMA,74017,5501,OK-01,OK-02,,,,SINGLE ZIP CODE,USA,UNITED STATES,4014700,CLAREMORE,40131,ROGERS,40,OKLAHOMA,740175501,OK-01,OK-02,,16.726,JUVENILE MENTORING PROGRAM,,,04,,ROGERS COUNTY LOCAL MENTORING COORDINATOR PROGRAM,ROGERS COUNTY LOCAL MENTORING COORDINATOR PROGRAM,NON,,M,NONPROFIT WITH 501C3 IRS STATUS (OTHER THEN INSTITUTION OF HIGHER EDUCATION),,,A,,2,,,,,,,,,,,,https://www.usaspending.gov/award/ASST_NON_2012JUFX0042_1550/,2017-09-17,2012-12-04
1550_2012WHAX0018_FY2012-2012WHAX0018-00-NON_16.736_00,ASST_NON_2012WHAX0018_1550,2012WHAX0018,00,FY2012-2012WHAX0018-00-NON,SAI NOT AVAILABLE,300000.00,300000.00,,,0.00,0.00,0.00,0.00,0.00,0.00,300000.00,,,,,,2012-09-17,2012,2012-10-01,2015-09-30,015,Department of Justice,1550,Office of Justice Programs,,,,,,,,,,,,,XXC2DQ2DF7V5,942109968,LATIN UNITED COMMUNITY HOUSING ASSOCIATION,LATIN UNITED COMMUNITY HOUSING ASSOCIATION,,,,,USA,UNITED STATES,3541 W. NORTH AVE.,,44368,LOGAN SQUARE,17031,COOK,17,IL,ILLINOIS,60647,0000,IL-04,IL-03,,,,SINGLE ZIP CODE,USA,UNITED STATES,1744368,CHICAGO,17031,COOK,17,ILLINOIS,606470000,IL-04,IL-03,,16.736,"TRANSITIONAL HOUSING ASSISTANCE FOR VICTIMS OF DOMESTIC VIOLENCE, DATING VIOLENCE, STALKING, OR SEXUAL ASSAULT",,,04,,PROJECT JUMPSTART (UN NUEVO COMIENZO),PROJECT JUMPSTART (UN NUEVO COMIENZO),NON,,M,NONPROFIT WITH 501C3 IRS STATUS (OTHER THEN INSTITUTION OF HIGHER EDUCATION),,,A,,2,,,,,,,,,,,,https://www.usaspending.gov/award/ASST_NON_2012WHAX0018_1550/,2017-09-17,2012-12-04
1550_2010MUFXK591_FY2012-2010MUFXK591-02-NON_16.541_02,ASST_NON_2010MUFXK591_1550,2010MUFXK591,02,FY2015-2010MUFXK591-03-NON-05,SAI NOT AVAILABLE,239936.00,1839901.97,,,0.00,0.00,0.00,0.00,0.00,0.00,239936.00,,,,,,2012-09-17,2012,2010-10-01,2014-07-31,015,Department of Justice,1550,Office of Justice Programs,,,,,,,,,015-X-0405-000,015-0405,"41.0: Grants, subsidies, and contributions",0001: PART B: FORMULA GRANTS,MUFDFLWLFDT5,072632482,INTERNATIONAL ASSOCIATION OF CHIEFS OF POLICE,INTERNATIONAL ASSOCIATION OF CHIEFS OF POLICE,,,,,USA,UNITED STATES,515 NORTH WASHINGTON STREET,,01000,ALEXANDRIA,51510,ALEXANDRIA,51,VA,VIRGINIA,22314,2357,VA-08,VA-08,,,,SINGLE ZIP CODE,USA,UNITED STATES,5101000,ALEXANDRIA,51510,ALEXANDRIA (CITY),51,VIRGINIA,223142357,VA-08,VA-08,,16.541,"PART E - DEVELOPING, TESTING AND DEMONSTRATING PROMISING NEW PROGRAMS",,,05,,IMPROVING LAW ENFORCEMENT RESPONSES TO YOUTH TRAINING AND TECHNICAL ASSISTANCE PROGRAM,IMPROVING LAW ENFORCEMENT RESPONSES TO YOUTH TRAINING AND TECHNICAL ASSISTANCE PROGRAM,NON,,M,NONPROFIT WITH 501C3 IRS STATUS (OTHER THEN INSTITUTION OF HIGHER EDUCATION),,,A,,2,,,,,,,,,,,,https://www.usaspending.gov/award/ASST_NON_2010MUFXK591_1550/,2017-09-17,2013-06-18
1550_2009CWAXK012_FY2012-2009CWAXK012-01-NON_16.527_01,ASST_NON_2009CWAXK012_1550,2009CWAXK012,01,FY2012-2009CWAXK012-01-NON,SAI NOT AVAILABLE,350000.00,1050000.00,,,369118.00,738236.00,0.00,0.00,0.00,0.00,350000.00,,,,,,2012-09-17,2012,2009-10-01,2015-09-30,015,Department of Justice,1550,Office of Justice Programs,,,,,,,,,,,,,K8G5TL8B1CX7,061420535,DEKALB COUNTY DEPARTMENT OF FINANCE,THE COUNTY OF DEKALB,K8G5TL8B1CX7,061420535,DEKALB COUNTY DEPARTMENT OF FINANCE,"DEKALB, COUNTY OF",USA,UNITED STATES,330 W. PONCE DE LEON AVENUE,,22052,DECATUR,13089,DEKALB,13,GA,GEORGIA,30030,2439,GA-04,GA-05,,,,SINGLE ZIP CODE,USA,UNITED STATES,1322052,DECATUR,13089,DEKALB,13,GEORGIA,300302439,GA-04,GA-05,,16.527,"SUPERVISED VISITATION, SAFE HAVENS FOR CHILDREN",,,05,,NIA''S PLACE SUPERVISED VISITATION AND EXCHANGE CENTER,NIA''S PLACE SUPERVISED VISITATION AND EXCHANGE CENTER,NON,,B,COUNTY GOVERNMENT,,,A,,2,,,,,,,,,,,,https://www.usaspending.gov/award/ASST_NON_2009CWAXK012_1550/,2017-09-17,2013-06-18
1550_2012WEAX0038_FY2012-2012WEAX0038-00-NON_16.590_00,ASST_NON_2012WEAX0038_1550,2012WEAX0038,00,FY2012-2012WEAX0038-00-NON,SAI NOT AVAILABLE,809966.00,809966.00,,,0.00,0.00,0.00,0.00,0.00,0.00,809966.00,,,,,,2012-09-17,2012,2012-10-01,2014-09-30,015,Department of Justice,1550,Office of Justice Programs,,,,,,,,,,,,,Q792G3EHA5W3,123561917,OKLAHOMA DISTRICT ATTORNEYS COUNCIL,OKLAHOMA DISTRICT ATTORNEYS COUNCIL,EMSCXBHK78V7,043440601,"OKLAHOMA, STATE OF","OKLAHOMA, STATE OF",USA,UNITED STATES,421 N.W. 13TH SUITE 290,,64378,OKLAHOMA,40105,NOWATA,40,OK,OKLAHOMA,73103,3700,OK-05,OK-05,,,,SINGLE ZIP CODE,USA,UNITED STATES,4064378,OKLAHOMA CITY,40109,OKLAHOMA,40,OKLAHOMA,731033700,OK-05,OK-05,,16.590,GRANTS TO ENCOURAGE ARREST POLICIES AND ENFORCEMENT OF PROTECTION ORDERS PROGRAM,,,04,,OKLAHOMA''S COORDINATED COMMUNITY RESPONSE TO DOMESTIC VIOLENCE AND SEXUAL ASSAULT,OKLAHOMA''S COORDINATED COMMUNITY RESPONSE TO DOMESTIC VIOLENCE AND SEXUAL ASSAULT,NON,,A,STATE GOVERNMENT,,,A,,2,,,,,,,,,,,,https://www.usaspending.gov/award/ASST_NON_2012WEAX0038_1550/,2017-09-17,2012-12-04
1550_2010MCCXK060_FY2012-2010MCCXK060-01-NON_16.543_01,ASST_NON_2010MCCXK060_1550,2010MCCXK060,01,FY2012-2010MCCXK060-01-NON,SAI NOT AVAILABLE,200000.00,600000.00,,,0.00,0.00,0.00,0.00,0.00,0.00,200000.00,,,,,,2012-09-17,2012,2010-10-01,2013-09-30,015,Department of Justice,1550,Office of Justice Programs,,,,,,,,,,,,,Q9K5DDCCMM29,082692021,CHILDRENS INSTITUTE INC,"CHILDREN''S INSTITUTE, INC.",Q9K5DDCCMM29,082692021,CHILDRENS INSTITUTE INC,"CHILDRENS INSTITUTE, INC.",USA,UNITED STATES,711 SO. NEW HAMPSHIRE AVE.,,66154,SANFORD,06037,LOS ANGELES,06,CA,CALIFORNIA,90005,,CA-31,CA-34,,,,SINGLE ZIP CODE,USA,UNITED STATES,0666154,LOS ANGELES,06037,LOS ANGELES,06,CALIFORNIA,90005,CA-31,CA-34,,16.543,MISSING CHILDREN'S ASSISTANCE,,,05,,"HEALING: A PROGRAM FOR YOUTH WITH SEXUAL BEHAVIOR PROBLEMS, THEIR VICTIMS AND FAMILIES","HEALING: A PROGRAM FOR YOUTH WITH SEXUAL BEHAVIOR PROBLEMS, THEIR VICTIMS AND FAMILIES",NON,,M,NONPROFIT WITH 501C3 IRS STATUS (OTHER THEN INSTITUTION OF HIGHER EDUCATION),,,A,,2,,,,,,,,,,,,https://www.usaspending.gov/award/ASST_NON_2010MCCXK060_1550/,2017-09-17,2013-06-18
1550_2009WEAX0001_FY2012-2009WEAX0001-02-NON_16.590_02,ASST_NON_2009WEAX0001_1550,2009WEAX0001,02,FY2015-2009WEAX0001-02-NON-03,SAI NOT AVAILABLE,299904.00,782694.00,,,0.00,0.00,0.00,0.00,0.00,0.00,299904.00,,,,,,2012-09-17,2012,2008-09-01,2015-02-28,015,Department of Justice,1550,Office of Justice Programs,,,,,,,,,,,,,T85ZPADXU3L5,034702670,"CUMBERLAND, COUNTY OF","CUMBERLAND COUNTY, MAINE",T85ZPADXU3L5,034702670,"CUMBERLAND, COUNTY OF","CUMBERLAND, COUNTY OF",USA,UNITED STATES,"142 FEDERAL ST., SUITE 102",,60545,PORTLAND,23005,CUMBERLAND,23,ME,MAINE,04101,0000,ME-01,ME-01,,,,SINGLE ZIP CODE,USA,UNITED STATES,2360545,PORTLAND,23005,CUMBERLAND,23,MAINE,041010000,ME-01,ME-01,,16.590,GRANTS TO ENCOURAGE ARREST POLICIES AND ENFORCEMENT OF PROTECTION ORDERS PROGRAM,,,04,,VIOLENCE INTERVENTION PARTNERSHIP,VIOLENCE INTERVENTION PARTNERSHIP,NON,,B,COUNTY GOVERNMENT,,,A,,2,,,,,,,,,,,,https://www.usaspending.gov/award/ASST_NON_2009WEAX0001_1550/,2017-09-17,2013-06-18
1550_2009CWAXK001_FY2012-2009CWAXK001-01-NON_16.527_01,ASST_NON_2009CWAXK001_1550,2009CWAXK001,01,FY2012-2009CWAXK001-01-NON,SAI NOT AVAILABLE,350000.00,600000.00,,,0.00,0.00,0.00,0.00,0.00,0.00,350000.00,,,,,,2012-09-17,2012,2009-10-01,2016-05-31,015,Department of Justice,1550,Office of Justice Programs,,,,,,,,,,,,,ETB4RDR743J9,080373236,PUEBLO COUNTY GOVERNMENT,PUEBLO COUNTY,ETB4RDR743J9,080373236,PUEBLO COUNTY GOVERNMENT,PUEBLO COUNTY GOVERNMENT,USA,UNITED STATES,215 W. 10TH STREET,,62000,PUEBLO,08101,PUEBLO,08,CO,COLORADO,81003,0000,CO-03,CO-03,,,,SINGLE ZIP CODE,USA,UNITED STATES,0862000,PUEBLO,08101,PUEBLO,08,COLORADO,810030000,CO-03,CO-03,,16.527,"SUPERVISED VISITATION, SAFE HAVENS FOR CHILDREN",,,05,,TERESA'S PLACE VISITATION CENTER OF PUEBLO COUNTY,TERESA'S PLACE VISITATION CENTER OF PUEBLO COUNTY,NON,,B,COUNTY GOVERNMENT,,,A,,2,,,,,,,,,,,,https://www.usaspending.gov/award/ASST_NON_2009CWAXK001_1550/,2017-09-17,2012-12-04
1550_2010JWFX0001_FY2012-2010JWFX0001-02-NON_16.523_02,ASST_NON_2010JWFX0001_1550,2010JWFX0001,02,FY2015-2010JWFX0001-05-NON,SAI NOT AVAILABLE,766000.00,4946432.00,,,0.00,0.00,0.00,0.00,0.00,0.00,766000.00,,,,,,2012-09-17,2012,2010-10-01,2013-09-30,015,Department of Justice,1550,Office of Justice Programs,,,,,,,,,,,,,YY46Q97AEZA8,006914071,THE RAND CORPORATION,RAND CORPORATION,YY46Q97AEZA8,006914071,THE RAND CORPORATION,"RAND CORPORATION, THE",USA,UNITED STATES,1776 MAIN STREET,PO BOX 2138,70000,SANTA MONICA,06037,LOS ANGELES,06,CA,CALIFORNIA,90407,2138,CA-29,CA-33,,,,SINGLE ZIP CODE,USA,UNITED STATES,0670000,SANTA MONICA,06037,LOS ANGELES,06,CALIFORNIA,904072138,CA-29,CA-33,,16.523,JUVENILE ACCOUNTABILITY BLOCK GRANTS,,,04,,OJJDP'S FY2010 NATIONAL EVALUATION OF SAFE START PROMISING APPROACHES,OJJDP'S FY2010 NATIONAL EVALUATION OF SAFE START PROMISING APPROACHES,NON,,X,OTHER,,,A,,2,,,,,,,,,,,,https://www.usaspending.gov/award/ASST_NON_2010JWFX0001_1550/,2017-09-17,2012-12-04
1550_2012JUFX0045_FY2012-2012JUFX0045-00-NON_16.726_00,ASST_NON_2012JUFX0045_1550,2012JUFX0045,00,FY2013-2012JUFX0045-01-NON,SAI NOT AVAILABLE,109910.00,200000.00,,,0.00,0.00,0.00,0.00,0.00,0.00,109910.00,,,,,,2012-09-17,2012,2012-10-01,2013-09-30,015,Department of Justice,1550,Office of Justice Programs,,,,,,,,,,,,,K6S6PFZUE1F1,075256321,"BIG BROTHERS/BIG SISTERS OF NEW YORK CITY, INC.","BIG BROTHERS BIG SISTERS OF NEW YORK CITY, IN",K6S6PFZUE1F1,075256321,"BIG BROTHERS/BIG SISTERS OF NEW YORK CITY, INC.","BIG BROTHERS/BIG SISTERS OF NEW YORK CITY, INC.",USA,UNITED STATES,223 EAST 30TH STREET,,49297,MURRAY HILL,36061,NEW YORK,36,NY,NEW YORK,10016,8203,NY-08,NY-12,,,,SINGLE ZIP CODE,USA,UNITED STATES,3649297,NEW YORK,36061,NEW YORK,36,NEW YORK,100168203,NY-08,NY-12,,16.726,JUVENILE MENTORING PROGRAM,,,04,,LOCAL MENTORING COORDINATOR FOR BBBS OF NYC'S BRONX VOLUNTEER COALITION: BRINGING MORE VOLUNTEER MENTORS TO THE MOST DISADVANTAGED COMMUNITIES IN NYC,LOCAL MENTORING COORDINATOR FOR BBBS OF NYC'S BRONX VOLUNTEER COALITION: BRINGING MORE VOLUNTEER MENTORS TO THE MOST DISADVANTAGED COMMUNITIES IN NYC,NON,,M,NONPROFIT WITH 501C3 IRS STATUS (OTHER THEN INSTITUTION OF HIGHER EDUCATION),,,A,,2,,,,,,,,,,,,https://www.usaspending.gov/award/ASST_NON_2012JUFX0045_1550/,2017-09-17,2012-12-04
